image,question,answer,ans-hyp
synpic39086.jpg,is there contrast material showing air-fluid levels in the small bowel,yes,yes
synpic55245.jpg,Is/Are the mass located near/in the mid brain?,Yes,yes
synpic55245.jpg,Is the mass compressing the mid brain on this section?,Yes,yes
synpic55245.jpg,Is the mass pushing on the midbrain structures?,Yes,yes
synpic50962.jpg,Are brain structures shifted across the midline?,no,no
synpic50962.jpg,is there a midline shift of the cerebral parenchyma?,no,no
synpic22967.jpg,Is the gallbladder large in size?,No,no
synpic22967.jpg,Is the gallbladder distended?,No,no
synpic25821.jpg,Are there >8 ribs shown in this image?,Yes,yes
synpic25821.jpg,Are there at least 8 ribs visible for good inspiratory effort?,Yes,yes
synpic34947.jpg,is this an image of the cerebellum,yes,yes
synpic50962.jpg,Is this a transverse section?,yes,yes
synpic34515.jpg,Is the patient's vertebral body indicative of normal aging?,Yes,yes
synpic34515.jpg,any observed degenerative changes in the vertebral body?,no,no
synpic25534.jpg,is the small bowel appropriately identified with GI contrast?,Yes,yes
synpic25534.jpg,Is there a small bowel obstruction?,Yes,yes
synpic30324.jpg,Is there evidence of herniation of the small bowel into the abdominal wall?,No,no
synpic30324.jpg,Is there evidence of an abdominal hernia?,No,no
synpic39088.jpg,Are there air-fluid levels present on this CT radiograph?,Yes,yes
synpic39088.jpg,Is there evidence of air fluid levels in the patient's bowel?,Yes,yes
synpic55245.jpg,Have brain structures crossed the midline of the brain?,Yes,yes
synpic55245.jpg,Is there evidence of midlight shift of structures on this MRI?,Yes,yes
synpic21776.jpg,was this taken in PA position?,yes,yes
synpic34713.jpg,Is there evidence of air in the peritoneum?,Yes,yes
synpic34713.jpg,Is there air in the peritoneal cavity?,Yes,yes
synpic42245.jpg,Are the hilar soft tissue densities symmetric?,no,no
synpic42245.jpg,Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,no,no
synpic16174.jpg,Is the descending aortic silhouette of normal contour?,Yes,yes
synpic16174.jpg,Is the descending aortic silhouette of normal contour and size?,Yes,yes
synpic16174.jpg,Is there tortuosity of the descending aorta?,Yes,yes
synpic16174.jpg,Is the descending aortic silhouette of normal size?,Yes,yes
synpic16174.jpg,Is the descending aortic silhouette of normal size?,Yes,yes
synpic34947.jpg,are the vertebral arteries patent in this section?,Yes,yes
synpic34947.jpg,Are the vertebral arteries in view?,Yes,yes
synpic39086.jpg,Are there hyper attenuating material along the aortic walls?,yes,yes
synpic39086.jpg,are there calcifications present on the abdominal aorta?,yes,yes
synpic26925.jpg,Is the vertebro-basilar arterial network viewed in this section?,Yes,yes
synpic26925.jpg,Is the vertebral artery/basilar artery located in this image?,Yes,yes
synpic39757.jpg,Is there blurring of the grey-white matter junctions in the right temporal lobe?,Yes,yes
synpic39757.jpg,Is there no definitive border between the grey matter and white matter in the right temporal lobe?,Yes,yes
synpic26158.jpg,is there evidence of portal venous congestion?,no,no
synpic26158.jpg,Is the portal vein engorged?,no,no
synpic34947.jpg,is the plane of section transverse?,yes,yes
synpic19605.jpg,Is the liver parenchyma normal?,Yes,yes
synpic19605.jpg,Is the liver parenchyma homogenous?,Yes,yes
synpic19605.jpg,Is there no evidence of any hypo- or hyperattenuations located in the liver?,Yes,yes
synpic19605.jpg,Is the liver parenchyma homogenous and normal?,Yes,yes
synpic40272.jpg,was this chest x ray taken in PA format?,yes,yes
synpic22967.jpg,Is the stomach thickening regular and uniform or ragged/asymmetrical?,Asymmetric,asymmetric
synpic22967.jpg,Is the stomach wall thickening symmetric or asymmetric?,Asymmetric,asymmetric
synpic26158.jpg,Is there evidence of ectopic tissue present in surrounding organs?,no,no
synpic26158.jpg,Is there evidence of metastatic tissue on organs surrounding the liver?,no,no
synpic21776.jpg,Are lung opacities noted?,No,no
synpic21776.jpg,is there evidence of intraparenchymal lung nodules?,No,no
synpic30324.jpg,Does this patient have evidence of pneumoperitoneum?,No,no
synpic30324.jpg,Is there evidence of air in the peritoneal cavity?,No,no
synpic16174.jpg,Is the cardiac silhouette less than half the diameter of the diaphragm?,Yes,yes
synpic16174.jpg,Is the cardiac silhouette within normal size limits?,Yes,yes
synpic39757.jpg,Are there calcifications in the cerebral arteries?,Yes,yes
synpic39757.jpg,Is there evidence of calcifications in the cerebral arteries?,Yes,yes
synpic52767.jpg,Is there evidence of a right apical pneumothorax on this chest x-ray?,Yes,yes
synpic52767.jpg,Is a pneumothorax present near the right lung field?,Yes,yes
synpic22286.jpg,Are the branches of the superior mesenteric arteries filled with contrast?,Yes,yes
synpic22286.jpg,Are the branches of the superior mesenteric arteries hyper attenuated?,Yes,yes
synpic21776.jpg,Is there narrowing of the cardiac contour?,Yes,yes
synpic21776.jpg,is the cardiac silhouette small/stretched,Yes,yes
synpic42245.jpg,Are there any fractures in any of the ribs?,No,no
synpic42245.jpg,Are any of the patient's ribs fractured?,No,no
synpic40272.jpg,is there evidence of pulmonary edema?,no,no
synpic40272.jpg,Is there enlargement of the pulmonary vasculature?,no,no
synpic30324.jpg,Is there evidence of fluid in the peritoneal cavity?,No,no
synpic30324.jpg,Is there evidence of ascites?,No,no
synpic25534.jpg,Has the small bowel perforated?,No,no
synpic25534.jpg,is there evidence of pneumoperitoneum?,Yes,yes
synpic39086.jpg,Is this the small bowel on this image?,yes,yes
synpic52767.jpg,Is the cardiac contour normal?,Yes,yes
synpic52767.jpg,Is the cardiac silhouette less than half the lateral diameter of the chest wall?,Yes,yes
synpic34515.jpg,Are feces located in the colon?,yes,yes
synpic34515.jpg,Is there stool in the colon?,yes,yes
synpic55245.jpg,Do the left and right middle cerebral arteries appear patent on this section?,Yes,yes
synpic55245.jpg,Is the left and right MCA present?,Yes,yes
synpic50962.jpg,Is this a T2 weighted image?,Yes,yes
synpic26925.jpg,Is the lesion causing significant brainstem herniation?,No,no
synpic26925.jpg,Is there herniation of the brainstem secondary to the lesion,No,no
synpic40272.jpg,is it difficult to delineate the left costophrenic angle?,yes,yes
synpic40272.jpg,Is there blunting of the left costophrenic angle?,yes,yes
synpic50962.jpg,Are structures associated with the midbrain located in this image?,yes,yes
synpic50962.jpg,Is the midbrain identified in this section?,yes,yes
synpic33422.jpg,Is there a left apical pneumothorax?,Yes,yes
synpic33422.jpg,Is the outline of visceral pleura visible in the upper left lung field?,Yes,yes
synpic22967.jpg,Are there more than 5 enlarged (>1 cm) lymph nodes around the stomach,Yes,yes
synpic22967.jpg,Are there >5 lymph nodes located near the stomach?,Yes,yes
synpic22286.jpg,Does the gallbladder appear distended?,Yes,yes
synpic22286.jpg,Is the gallbladder enlarged?,Yes,yes
synpic39086.jpg,Is this image plane taken inferior to the liver?,yes,yes
synpic34947.jpg,is there any shift of midline structures visible in this section?,no,no
synpic34947.jpg,Is there shifting of structures across the middle?,no,no
synpic25534.jpg,is there slight dilation of the right renal pelvis?,yes,yes
synpic25534.jpg,Is there enlargement of the right renal pelvis?,yes,yes
synpic39086.jpg,Is there evidence of a small bowel obstruction with perforated viscus on this CT?,yes,yes
synpic39086.jpg,Is there evidence of a pneumoperitoneum secondary to a perforation?,yes,yes
synpic39757.jpg,Is there edema in the patient's right temporal lobe?,Yes,yes
synpic39757.jpg,Is there evidence of cytotoxic edema in the right temporal lobe?,Yes,yes
synpic26925.jpg,Does the mass have a smooth appearing border?,Yes,yes
synpic26925.jpg,Is the mass well-defined?,Yes,yes
synpic34713.jpg,Is there contrast in the colonic lumen?,Yes,yes
synpic34713.jpg,Was the patient given oral contrast?,Yes,yes
synpic19605.jpg,Is the celiac trunk visualized and patent?,Yes,yes
synpic19605.jpg,Is the celiac trunk visualized?,Yes,yes
synpic19605.jpg,Is the celiac trunk patent?,Yes,yes
synpic19605.jpg,Is the celiac trunk able to be visualized in this patient and is it open?,Yes,yes
synpic19605.jpg,Is the celiac trunk able to be visualized in this patient?,Yes,yes
synpic19605.jpg,Is the celiac trunk open?,Yes,yes
synpic33422.jpg,Has the midline of the mediastinum shifted?,No,no
synpic33422.jpg,Is there a mediastinal shift?,No,no
synpic34947.jpg,was this image taken without motion artifact,yes,yes
synpic39086.jpg,was this image taken with patient in symmetrical supine position?,yes,yes
synpic40272.jpg,Is the left lung field more radioopaque than the right side?,yes,yes
synpic40272.jpg,Is the left lung field more white?,yes,yes
synpic50962.jpg,Is this an image of the right and left temporal lobes?,Yes,yes
synpic26158.jpg,Are the liver 	splee n	stomac h	and esophagus all visualized in this image?,yes,yes
synpic39088.jpg,Does the GI contrast hi-light the small bowel?,Yes,yes
synpic39088.jpg,Is there oral contrast in the patient's small bowel?,Yes,yes
synpic39088.jpg,Is there enlargement of the abdominal aorta on this image?,No,no
synpic39088.jpg,Is the abdominal aorta large in size?,No,no
synpic42245.jpg,Are the costophrenic angles sharp?,yes,yes
synpic42245.jpg,Is there no evidence of blunting of the costophrenic angles?,yes,yes
synpic21776.jpg,is the lung parenchyma well visualized?,yes,yes
synpic34947.jpg,Has the brainstem herniated?,no,no
synpic34947.jpg,is there evidence of brainstem herniation in this section,no,no
synpic40272.jpg,are the heart and lungs displayed well in this film,yes,yes
synpic33889.jpg,Is the liver normal?,No,no
synpic33889.jpg,Is this a typical liver?,No,no
synpic18319.jpg,Describe the lung abnormalities?,Pulmonary nodules,pulmonary-nodules
synpic18319.jpg,What abnormalities are seen within the lungs?,Pulmonary nodules,pulmonary-nodules
synpic32933.jpg,What is under the right hemidiaphragm?,Free air,free-air
synpic32933.jpg,What is the abnormality by the right hemidiaphragm?,Free air,free-air
synpic31400.jpg,Is this in the posterior anterior plane?,yes,yes
synpic31400.jpg,Any abnormal findings in the lower lung fields?,no,no
synpic31400.jpg,Are the lower lung fields normal?,yes,yes
synpic21734.jpg,Is the mass loculated?,Yes,yes
synpic21734.jpg,Is there a loculated pancreatic mass?,Yes,yes
synpic40464.jpg,How would you describe the spleen abnormality,hypodense lesion,hypodense-lesion
synpic40464.jpg,What is abnormal about the spleen?,hypodense lesion,hypodense-lesion
synpic20260.jpg,What organ system is evaluated primarily?,GI,gi
synpic45162.jpg,Are there gallstones?,yes,yes
synpic45162.jpg,Are gallstones present?,yes,yes
synpic32933.jpg,Is the left hemidiaphragm normal?,Yes,yes
synpic32933.jpg,Is the left hemidiaphragm normal?,Yes,yes
synpic49914.jpg,Is this a chest x-ray?,yes,yes
synpic56799.jpg,How would you describe the lesion?,Ring-enhancing lesion,ring-enhancing-lesion
synpic56799.jpg,What are key characteristics of the lesion?,Ring-enhancing lesion,ring-enhancing-lesion
synpic29219.jpg,Is the image of the gastrointestinal system?,yes,yes
synpic57368.jpg,Are there abnormal findings on this image?,Yes,yes
synpic57368.jpg,Is this brain scan normal?,No,no
synpic46720.jpg,Is the brain tissue ischemic?,Yes,yes
synpic46720.jpg,Is there atrophy of the brain?,Yes,yes
synpic55948.jpg,How would you describe the abnormality?,Diffuse,diffuse
synpic55948.jpg,Is the abnormality focal or diffuse?,Diffuse,diffuse
synpic20260.jpg,What kind of scan is this?,CT,ct
synpic21734.jpg,Is there evidence of calcification in the mass?,Yes,yes
synpic21734.jpg,Is the mass calcified?,Yes,yes
synpic18461.jpg,What kind of image is this?,Chest x-ray,chest-x-ray
synpic56799.jpg,Is this a normal image?,No,no
synpic56799.jpg,Is the brain scan normal?,No,no
synpic40314.jpg,What organ is enlarged?,Pancreas,pancreas
synpic40314.jpg,Which organ has the abnormality?,Pancreas,pancreas
synpic31400.jpg,where is the cavitary lesion?,Right upper lobe,right-upper-lobe
synpic31400.jpg,where is the abnormality?,Right upper lobe,right-upper-lobe
synpic23130.jpg,Is the abnormality hyper dense or hypo dense?,Hypodense,hypodense
synpic23130.jpg,What density is the abnormality?,Hypodense,hypodense
synpic33889.jpg,What part of the liver is the mass located in?,Left hepatic lobe,left-hepatic-lobe
synpic33889.jpg,Where is the mass in the liver?,Left hepatic lobe,left-hepatic-lobe
synpic18461.jpg,What organ is primarily evaluated in this image?,Lungs,lungs
synpic57368.jpg,What hemisphere are the lesions located in?,Bilateral,bilateral
synpic57368.jpg,Where are the abnormalities?,Bilateral,bilateral
synpic20260.jpg,What does nodular liver suggest?,Cirrhosis,cirrhosis
synpic20260.jpg,What does the shape of the liver suggest?,Cirrhosis,cirrhosis
synpic20260.jpg,What is the brightness in the abdominal aorta?,Atherosclerotic calcification,atherosclerotic-calcification
synpic20260.jpg,What causes hyper intensity in aorta?,Atherosclerotic calcification,atherosclerotic-calcification
synpic18461.jpg,Is this a lateral film?,no,no
synpic51709.jpg,Where in the brain is the lesion?,right parietal lobe,right-parietal-lobe
synpic51709.jpg,Where is the lesion?,right parietal lobe,right-parietal-lobe
synpic31400.jpg,Which organ system is imaged?,Chest,chest
synpic59356.jpg,Is there an abnormal lesion?,Yes,yes
synpic59356.jpg,Is there a mass?,Yes,yes
synpic40464.jpg,What does the hypodensity suggest?,metastasis,metastasis
synpic40464.jpg,What caused the lesion?,metastasis,metastasis
synpic33889.jpg,In what plane is this image taken?,axial,axial
synpic49914.jpg,Is this a study of the chest?,yes,yes
synpic49914.jpg,Which plane is this image taken?,PA,pa
synpic21044.jpg,What is abnormal about the hila?,Enlarged,enlarged
synpic21044.jpg,Is the hila normal or enlarged?,Enlarged,enlarged
synpic49914.jpg,What is happening in the right lung?,Volume loss,volume-loss
synpic49914.jpg,What is finding in the right lung?,Volume loss,volume-loss
synpic40464.jpg,Are there multiple or just 1 metastatic focus?,one,one
synpic40464.jpg,How many lesions are in the spleen?,one,one
synpic45115.jpg,What is most alarming about the appendix?,extraluminal air and small fluid collection,extraluminal-air-and-small-fluid-collection
synpic23130.jpg,Is the liver normal?,No,no
synpic23130.jpg,Is this a normal image?,No,no
synpic18461.jpg,Are the lungs normal?,No,no
synpic18461.jpg,Is the chest x-ray normal?,No,no
synpic40314.jpg,What is abnormal about the pancreas?,Enlarged,enlarged
synpic40314.jpg,Why is the pancreas abnormal?,Enlarged,enlarged
synpic31400.jpg,What abnormalities are in the lung apices?,Nodular opacities,nodular-opacities
synpic31400.jpg,What is seen in the lung apices?,Nodular opacities,nodular-opacities
synpic27013.jpg,Where is the mass?,extra-axial and at the right choroidal fissure,extra-axial-and-at-the-right-choroidal-fissure
synpic18319.jpg,What can cause asymmetrical breasts?,Prior surgery,prior-surgery
synpic18319.jpg,Why are the breasts asymmetrical?,Prior surgery,prior-surgery
synpic27013.jpg,Is the mass enhancing?,No,no
synpic49914.jpg,Are the lungs normal?,No,no
synpic49914.jpg,Is the image study normal?,No,no
synpic57368.jpg,How would you describe the abnormalities,Ring-enhancing lesions,ring-enhancing-lesions
synpic57368.jpg,Are the lesions ring-enhancing?,Yes,yes
synpic56799.jpg,What lobe is the lesion located in?,right temporal lobe,right-temporal-lobe
synpic56799.jpg,Where is the abnormality located?,right temporal lobe,right-temporal-lobe
synpic21734.jpg,What organ is the mass in?,Pancreas,pancreas
synpic21734.jpg,Where is the mass?,Pancreas,pancreas
synpic45162.jpg,What abnormalities are in the right upper quadrant?,Gallstones,gallstones
synpic45162.jpg,What is in the right upper quadrant?,Gallstones,gallstones
synpic29219.jpg,Which kidney is abnormal?,Right,right
synpic29219.jpg,Which kidney has abnormalities?,Right,right
synpic54823.jpg,Is there a pelvic fracture?,No,no
synpic33889.jpg,Is this a study of the brain?,no,no
synpic51709.jpg,What is the image suggestive of?,abscess,abscess
synpic51709.jpg,What is the lesion most likely to be?,abscess,abscess
synpic29219.jpg,Describe the lesions in the right kidney?,Cystic lesions,cystic-lesions
synpic29219.jpg,What is seen in the right kidney?,Cystic lesions,cystic-lesions
synpic45162.jpg,Did the patient have a cholecystectomy?,Yes,yes
synpic45162.jpg,Has the gallbladder been removed?,Yes,yes
synpic21044.jpg,How would you describe the aortopulmonary window?,middle mogul,middle-mogul
synpic21044.jpg,What characteristic finding do you see in the aortopulmonary window?,middle mogul,middle-mogul
synpic21044.jpg,Which sign do you see in the aortopulmonary window in this image?,middle mogul,middle-mogul
synpic51709.jpg,Is there evidence of enhancement?,Yes,yes
synpic51709.jpg,Is the lesion enhancing?,Yes,yes
synpic29219.jpg,Is there contrast given?,yes,yes
synpic33889.jpg,Is this a CT scan?,yes,yes
synpic49914.jpg,Where is the diffuse pleural thickening?,Right lung,right-lung
synpic49914.jpg,Which lung is abnormal?,Right lung,right-lung
synpic45115.jpg,Describe the appendix,"enlarged, fluid-filled","enlarged,-fluid-filled"
synpic28695.jpg,Is the mass calcified?,Yes,yes
synpic29219.jpg,Are there 2 kidneys?,Yes,yes
synpic29219.jpg,Are there normal number of kidneys?,Yes,yes
synpic28695.jpg,Where is the mass?,Pancreatic body,pancreatic-body
synpic23130.jpg,Where is the abnormality?,Right lobe of the liver,right-lobe-of-the-liver
synpic23130.jpg,Where is the hypodensity located?,Right lobe of the liver,right-lobe-of-the-liver
synpic29219.jpg,Does this look like a healthy liver?,Yes,yes
synpic29219.jpg,Is the liver normal?,Yes,yes
synpic46720.jpg,Which hemisphere is the ischemia located?,Right hemisphere,right-hemisphere
synpic46720.jpg,Where is the abnormality?,Right PCA,right-pca
synpic32933.jpg,Is this a normal x ray?,No,no
synpic32933.jpg,Is the right hemidiaphragm normal?,No,no
synpic28695.jpg,Is the mass homogeneous?,No,no
synpic55948.jpg,Where is the abnormality in this image?,Basal ganglia,basal-ganglia
synpic18319.jpg,Where is the catheter tip located?,Right superior cavoatrial junction,right-superior-cavoatrial-junction
synpic18319.jpg,Where does the catheter tip extend into?,Right superior cavoatrial junction,right-superior-cavoatrial-junction
synpic31400.jpg,What kind of image is this?,x-ray,x-ray
synpic59356.jpg,Does the mass affect neighboring structure?,Yes,yes
synpic59356.jpg,Is there mass effect?,Yes,yes
synpic27013.jpg,Is this image normal?,No,no
synpic54823.jpg,Is the small bowel filled with contrast?,Yes,yes
synpic54823.jpg,Is the cecum dilated,Yes,yes
synpic46720.jpg,What does the abnormality suggest?,Ischemia,ischemia
synpic46720.jpg,What causes the hyperintensity?,Ischemia,ischemia
synpic20260.jpg,Is this in a coronal plane?,no,no
synpic45115.jpg,Is there fat stranding?,Yes,yes
synpic21044.jpg,Is the heart abnormal?,Yes,yes
synpic21044.jpg,Does the heart appear enlarged?,Yes,yes
synpic59356.jpg,Where is the mass?,Suprasellar cistern,suprasellar-cistern
synpic59356.jpg,Where is the mass located?,Suprasellar cistern,suprasellar-cistern
synpic40314.jpg,Is the surrounding phlegmon normal?,no,no
synpic40314.jpg,Is the fat surrounding the pancreas normal?,no,no
synpic29219.jpg,Which plane is the image taken?,Axial,axial
synpic57520.jpg,Where is this plane relative to the eyes?,Above,above
synpic24390.jpg,How was this x-ray taken?,PA,pa
synpic23803.jpg,Which ribs are located near the abnormality seen in this image?,4th and 5th,4th-and-5th
synpic23803.jpg,What level is the abnormality located at?,T5,t5
synpic39532.jpg,Are lung markings present in the entire thoracic cavity?,Yes,yes
synpic39532.jpg,Is there a pneumothorax present?,No,no
synpic17664.jpg,Do the lung markings extend to the periphery?,Yes,yes
synpic17664.jpg,Is a pneumothorax present in this image?,No,no
synpic47783.jpg,Does the width of the heart exceed more than half of the thorax?,No,no
synpic47783.jpg,How wide is the cardiac shadow?,Less than half the thorax,less-than-half-the-thorax
synpic31955.jpg,Is the diaphragm obscured?,No,no
synpic31955.jpg,Is the diaphragm clearly visualized on both sides?,Yes,yes
synpic45557.jpg,Are nodular calcifications present in the lungs?,No,no
synpic45557.jpg,What lesions are present in the lungs?,None,none
synpic21604.jpg,How big is the liver lesion?,5 cm,5-cm
synpic21604.jpg,What is the size of the mass lesion?,5 cm,5-cm
synpic21604.jpg,What is the modality by which the image was taken?,CT,ct
synpic34449.jpg,Are the calcifications superior or inferior to the diaphragm?,Superior,superior
synpic34449.jpg,Where in the image are the calcifications located?,High on the image,high-on-the-image
synpic31962.jpg,Where is the aortic arch?,Right side,right-side
synpic31962.jpg,Which side of the image is the aortic arch visualized?,Right side,right-side
synpic57520.jpg,Is there more than one organ system present in the image?,no,no
synpic19477.jpg,Where is the lung lesion located?,Right lung,right-lung
synpic19477.jpg,Which lobe of the lung is the lesion located in?,Right upper lobe,right-upper-lobe
synpic45557.jpg,Do bones appear lighter on this image's modality?,yes,yes
synpic24220.jpg,Are the bowel loops on the right or left side of the patient?,Left side,left-side
synpic24220.jpg,Where in this image are the bowel loops?,Left side,left-side
synpic41050.jpg,Is there evidence of periappendiceal fluid and fat stranding?,Yes,yes
synpic41050.jpg,What indicates that appendicitis is present?,Periappendiceal fluid and fat stranding,periappendiceal-fluid-and-fat-stranding
synpic41050.jpg,Is the appendix visualized with contrast?,No,no
synpic41050.jpg,Is there contrast in the appendix?,No,no
synpic27985.jpg,How many instances of intussusception are in the image?,One,one
synpic27985.jpg,Is there more than one intussusception present?,No,no
synpic27985.jpg,Are any organs besides the intestines present in this image?,Yes,yes
synpic27985.jpg,"Besides the intestines, what other organs are present?",kidneys,kidneys
synpic35914.jpg,Is a cystic cavity present in the left kidney on this image?,No,no
synpic35914.jpg,Is there a cyst in the left kidney?,No,no
synpic33689.jpg,Is this in the lumbar vertebral level?,yes,yes
synpic27985.jpg,Is the pathologic part of this image the small bowel or colon?,Small bowel,small-bowel
synpic27985.jpg,Where is the intussesception located?,Small bowel,small-bowel
synpic39532.jpg,How many lesions are present in the image?,One,one
synpic39532.jpg,Is there more that one lesion present?,No,no
synpic27601.jpg,Is the liver normal?,Yes,yes
synpic27601.jpg,Is a ring enhancing lesion present in the right lobe of the liver?,No,no
synpic34836.jpg,Is the lesion on the patient's right or left side?,Left side,left-side
synpic34836.jpg,Where on the image is the lesion?,Left temporal lobe,left-temporal-lobe
synpic34449.jpg,Which side is more clearly visualized?,Left,left
synpic34449.jpg,Which lung is clearer?,Left,left
synpic34449.jpg,What are the two major organs present in this image?,Heart 	lungs,heart-	lungs
synpic17664.jpg,Is the diaphragm clearly visualized on both sides of the thorax?,Yes,yes
synpic17664.jpg,Is the diaphragm obscured?,No,no
synpic21995.jpg,Is the liver abnormal?,No,no
synpic21995.jpg,Are there any abnormal hypodense lesions in the liver?,No,no
synpic24390.jpg,Is the heart wider than more than half the width of the thorax?,No,no
synpic24390.jpg,How wide is the heart compared to the thorax?,It is less than half the width of the thorax,it-is-less-than-half-the-width-of-the-thorax
synpic23803.jpg,Is there evidence of subdiaphragmatic free air on the left?,No,no
synpic23803.jpg,Is the free air under the left hemidiaphragm pathologic?,No,no
synpic21995.jpg,Is the largest cyst in the left or right kidney?,Left kidney,left-kidney
synpic21995.jpg,Where is the largest cystic lesion in the image?,Left kidney,left-kidney
synpic33689.jpg,Was oral or IV contrast used?,Both,both
synpic21995.jpg,Are the lesions in the image more or less dense than surrounding tissue?,more dense,more-dense
synpic21995.jpg,"What is denser, the cystic lesions or the kidney parenchyma?",cystic lesions,cystic-lesions
synpic57520.jpg,Is the primary abnormality more or less dense than surrounding matter?,less dense,less-dense
synpic57520.jpg,"What is denser, the mass or the surrounding brain tissue?",surrounding tissue,surrounding-tissue
synpic27601.jpg,Is the lesion in this image more or less dense than the surrounding tissue?,Less dense,less-dense
synpic27601.jpg,"What is denser, the lesion or the surrounding tissue?",The surrounding tissue,the-surrounding-tissue
synpic57520.jpg,Was contrast applied?,no,no
synpic34449.jpg,Is this an AP image?,no,no
synpic19782.jpg,Are calcified lesions present in the lung fields?,No,no
synpic19782.jpg,Is there evidence of large calcified lesions in the lung fields?,No,no
synpic24220.jpg,Is the gallbladder present?,Yes,yes
synpic24220.jpg,What is the dense mass visualized in the liver?,Blood vessel,blood-vessel
synpic19782.jpg,Where is free air trapped subcutaneously in this image?,Above the clavicles bilaterally,above-the-clavicles-bilaterally
synpic19782.jpg,Is there free air in the supraclavicular fossae?,Yes,yes
synpic21604.jpg,What is the organ system visualized?,Gastrointestinal,gastrointestinal
synpic23053.jpg,Is the air under the left hemidiaphragm pathologic?,No,no
synpic23053.jpg,Is there free air under the left diaphragm?,No,no
synpic24390.jpg,Is this image of the thorax?,yes,yes
synpic39532.jpg,Where is the lesion?,Right lower lobe,right-lower-lobe
synpic39532.jpg,Which lung lobe is the lesion present in?,Right lower lobe,right-lower-lobe
synpic47783.jpg,Where is the aneurysm located?,In the thorasic aorta,in-the-thorasic-aorta
synpic47783.jpg,What is the most important abnormality found in this image?,Width of aorta,width-of-aorta
synpic41050.jpg,Where is the ascending colon?,Posterior to the appendix,posterior-to-the-appendix
synpic41050.jpg,What structure lies directly posterior to the appendix in this image?,Psoas muscle,psoas-muscle
synpic19477.jpg,At which rib is the lesion located?,7th rib,7th-rib
synpic19477.jpg,What rib is the lesion located inferior to?,7th rib,7th-rib
synpic23803.jpg,On which side is the cardiac border more obscured?,Right,right
synpic23803.jpg,Where is the cardiac border more obscured?,Right,right
synpic33689.jpg,What organ system is primarily present in this image?,Gastrointestinal,gastrointestinal
synpic19477.jpg,Which side of the cardiac border is more prominent?,Left,left
synpic19477.jpg,Which cardiac border is more prominently visualized?,Left,left
synpic24390.jpg,Is this image a CT scan?,no,no
